// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,Walking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleRate,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
44019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.740769,-12.602336,3.076456,0,0,3.180847,-0.28672,0.57579,-0.479657,0.007194,-0.125997,0.030924,0.999992,-0.001434,0.002879,-0.002398,-76.210048,-3.174024,-87.359869,NaN,NaN,0,NaN,NaN,NaN
44020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.354017,-12.058706,3.17051,0,0,2.660868,-0.323262,0.556796,-0.493534,0.003331,-0.120544,0.03189,0.999992,-0.001616,0.002784,-0.002468,-75.18161,-1.530364,-91.394316,NaN,NaN,0,NaN,NaN,NaN
44021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09638,-11.615669,3.126281,0.165175,0.406597,2.2087,-0.330354,0.486198,-0.548609,0.000722,-0.116107,0.031453,0.999992,-0.001652,0.002431,-0.002743,-75.805014,-2.516442,-90.323581,NaN,NaN,0,NaN,NaN,NaN
44022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023292,-11.223896,2.927792,0.107158,0.514673,1.774874,-0.31408,0.418868,-0.631989,-6E-05,-0.112193,0.029454,0.999992,-0.00157,0.002094,-0.00316,-75.970038,-2.809101,-90.644968,NaN,NaN,0,NaN,NaN,NaN
44023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.240548,-11.038276,2.694206,-0.032857,0.349962,1.54672,-0.285169,0.412703,-0.714988,0.002067,-0.110352,0.027095,0.99999,-0.001426,0.002064,-0.003575,-76.165538,-3.145444,-90.981114,NaN,NaN,0,NaN,NaN,NaN
44024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.634627,-11.128567,2.396158,-0.321746,0.03479,1.583981,-0.24807,0.487429,-0.797513,0.005961,-0.11128,0.024085,0.999988,-0.00124,0.002437,-0.003988,-76.285532,-3.522749,-91.3618,NaN,NaN,0,NaN,NaN,NaN
44025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.264971,-11.391443,2.035166,-0.722405,-0.504662,1.794631,-0.183376,0.663936,-0.871699,0.012221,-0.11395,0.020415,0.999985,-0.000917,0.00332,-0.004358,-76.39928,-3.859784,-91.849788,NaN,NaN,0,NaN,NaN,NaN
44026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.889712,-11.818318,1.641639,-1.219883,-0.997941,2.164533,-0.120373,0.948684,-0.960795,0.018407,-0.118263,0.016399,0.999977,-0.000602,0.004743,-0.004804,-76.421527,-4.267154,-92.50913,NaN,NaN,0,NaN,NaN,NaN
44027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.340721,-12.435293,1.223334,-1.71425,-1.225531,2.724069,-0.058918,1.323526,-1.050562,0.022834,-0.12447,0.012118,0.999964,-0.000295,0.006618,-0.005253,-76.773845,-4.938133,-93.349623,NaN,NaN,0,NaN,NaN,NaN
44028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.422571,-12.949482,0.848133,-2.228965,-1.117367,3.151064,-0.009481,1.750772,-1.124936,0.02357,-0.129628,0.008279,0.999946,-4.7E-05,0.008754,-0.005625,-76.678208,-5.335143,-94.478464,NaN,NaN,0,NaN,NaN,NaN
44029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.164609,-13.235579,0.626316,-2.255974,-0.514563,3.412371,0.034557,2.167022,-1.182067,0.020929,-0.132482,0.006011,0.999924,0.000173,0.010835,-0.00591,-77.636611,-6.531071,-95.706817,NaN,NaN,0,NaN,NaN,NaN
44030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.542619,-13.374122,0.591912,-2.293569,0.272472,3.463622,0.054995,2.514833,-1.234231,0.014673,-0.133835,0.005695,0.999902,0.000275,0.012574,-0.006171,-77.421304,-6.910417,-97.277211,NaN,NaN,0,NaN,NaN,NaN
44031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.761025,-13.394805,0.695077,-1.702907,1.309105,3.448814,0.079723,2.734231,-1.28007,0.006846,-0.133996,0.0068,0.999886,0.000399,0.013671,-0.0064,-78.889633,-8.072132,-98.733725,NaN,NaN,0,NaN,NaN,NaN
44032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.011701,-13.406217,0.802674,-1.484852,2.208857,3.351096,0.124048,2.812489,-1.33437,-0.000899,-0.134063,0.007953,0.999879,0.00062,0.014062,-0.006672,-78.566505,-8.506975,-100.481781,NaN,NaN,0,NaN,NaN,NaN
44033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.608641,-13.47882,0.853491,-0.915298,2.851263,3.370931,0.176464,2.781225,-1.386004,-0.006902,-0.13475,0.008508,0.999879,0.000882,0.013906,-0.00693,-80.044018,-8.907293,-101.956777,NaN,NaN,0,NaN,NaN,NaN
44034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.077947,-13.509934,0.881858,-0.766503,3.466275,3.296581,0.255084,2.67035,-1.441072,-0.011635,-0.135029,0.008798,0.999884,0.001275,0.013351,-0.007205,-79.630952,-9.450097,-103.629872,NaN,NaN,0,NaN,NaN,NaN
44035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.486265,-13.330267,0.882548,-0.305978,3.661745,3.117098,0.339413,2.507544,-1.468075,-0.01573,-0.133204,0.008793,0.999893,0.001697,0.012537,-0.00734,-80.862128,-8.971517,-104.985477,NaN,NaN,0,NaN,NaN,NaN
44036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.807808,-13.024527,0.92074,-0.115844,4.064812,2.725877,0.414536,2.298819,-1.48076,-0.018936,-0.130126,0.009152,0.999904,0.002073,0.011494,-0.007404,-80.389594,-9.594099,-106.442276,NaN,NaN,0,NaN,NaN,NaN
44037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.106832,-12.538435,1.044768,0.356681,3.934634,2.317102,0.481119,2.058756,-1.469727,-0.021882,-0.125251,0.010369,0.999917,0.002406,0.010293,-0.007348,-81.34199,-8.491128,-107.567887,NaN,NaN,0,NaN,NaN,NaN
44038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.310536,-11.983348,1.248411,0.696226,4.116006,1.722889,0.535967,1.783486,-1.438009,-0.023856,-0.119697,0.012374,0.999931,0.00268,0.008917,-0.00719,-80.858475,-9.147059,-108.718508,NaN,NaN,0,NaN,NaN,NaN
44039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.38382,-11.306,1.480855,1.094674,3.671549,1.188264,0.579303,1.486581,-1.389249,-0.024514,-0.112934,0.014662,0.999944,0.002896,0.007433,-0.006946,-81.489016,-7.7075,-109.523585,NaN,NaN,0,NaN,NaN,NaN
44040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.299832,-10.547056,1.730986,1.386165,3.508192,0.448683,0.618957,1.195281,-1.326395,-0.023595,-0.105369,0.017123,0.999955,0.003095,0.005976,-0.006632,-81.022564,-8.354532,-110.323847,NaN,NaN,0,NaN,NaN,NaN
44041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.130562,-9.843597,1.824377,1.467124,2.926194,-0.114861,0.641154,0.934053,-1.267373,-0.021845,-0.098357,0.01803,0.999964,0.003206,0.00467,-0.006337,-81.28292,-6.849257,-110.809174,NaN,NaN,0,NaN,NaN,NaN
44042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.896608,-9.182187,1.857516,1.4768,2.698525,-0.763044,0.666349,0.704684,-1.221039,-0.019462,-0.091765,0.018337,0.99997,0.003332,0.003523,-0.006105,-80.837332,-7.477621,-111.32073,NaN,NaN,0,NaN,NaN,NaN
44043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.646835,-8.659748,1.76982,1.289048,2.217764,-1.195582,0.678591,0.524434,-1.184936,-0.016935,-0.086558,0.017448,0.999973,0.003393,0.002622,-0.005925,-80.785383,-6.138508,-111.545259,NaN,NaN,0,NaN,NaN,NaN
44044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.323443,-8.174606,1.646564,1.096436,1.986413,-1.680163,0.718038,0.403105,-1.164193,-0.013677,-0.081726,0.016199,0.999975,0.00359,0.002016,-0.005821,-80.335856,-6.758629,-111.884635,NaN,NaN,0,NaN,NaN,NaN
