//Date Created 2022-12-09 13:08:18.835143
"//Units: sec, m/s/s"
Action,cutting
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.5762786865234375e-06,-2.875184,8.98196,2.327416
2,0.011737346649169922,-2.84648,8.924552,2.341768
3,0.02167487144470215,-2.851264,8.926944,2.399176
4,0.031177759170532227,-2.796248,8.984352,2.36808
5,0.041934967041015625,-2.772328,9.020232,2.34416
6,0.051059722900390625,-2.801032,9.05372,2.231736
7,0.06115531921386719,-2.889536,9.094384,2.253264
8,0.0718071460723877,-2.970864,9.17332,2.32024
9,0.08125472068786621,-2.975648,9.218768,2.258048
10,0.09128904342651367,-3.028272,9.19724,2.279576
11,0.10182404518127441,-3.147872,9.170928,2.310672
12,0.11128520965576172,-3.090464,9.187672,2.234128
13,0.12161827087402344,-3.03784,9.13744,2.375256
14,0.13175606727600098,-2.994784,9.139832,2.36808
15,0.14160895347595215,-2.875184,9.111128,2.430272
16,0.15160751342773438,-2.934984,9.082424,2.418312
17,0.16179847717285156,-2.79864,9.060896,2.377648
18,0.17152070999145508,-2.801032,9.075248,2.396784
19,0.18157196044921875,-2.817776,9.163752,2.461368
20,0.1916794776916504,-2.691,9.187672,2.437448
21,0.20159697532653809,-2.734056,9.228336,2.482896
22,0.2116103172302246,-2.812992,9.18528,2.60728
23,0.22177433967590332,-2.789072,9.111128,2.509208
24,0.23157382011413574,-2.812992,9.115912,2.53552
25,0.2415914535522461,-2.741232,9.13744,2.430272
26,0.25177907943725586,-2.76276,9.091992,2.485288
27,0.2611541748046875,-2.760368,9.091992,2.518776
28,0.27159881591796875,-2.803424,9.12548,2.384824
29,0.28179001808166504,-2.8106,9.087208,2.425488
30,0.29155874252319336,-2.734056,9.213984,2.423096
31,0.3015437126159668,-2.82256,9.206808,2.566616
32,0.31153035163879395,-2.707744,9.156576,2.545088
33,0.32153987884521484,-2.688608,9.1494,2.59532
34,0.3314938545227051,-2.674256,9.235512,2.537912
35,0.34172892570495605,-2.7508,9.259432,2.612064
36,0.35155653953552246,-2.793856,9.345544,2.791464
37,0.3615849018096924,-2.88236,9.4484,2.820168
38,0.3715553283691406,-3.023488,9.419696,2.812992
39,0.38158559799194336,-3.243552,9.417304,2.946944
40,0.3915700912475586,-3.442088,9.31684,2.777112
41,0.40175366401672363,-3.544944,9.307272,2.927808
42,0.4114723205566406,-3.442088,9.230728,2.8704
43,0.421520471572876,-3.344016,9.056112,2.693392
44,0.43178224563598633,-3.344016,8.733192,2.506816
45,0.4415416717529297,-3.202888,8.537048,2.444624
46,0.45157814025878906,-2.997176,8.352864,2.394392
47,0.4617280960083008,-3.083288,8.257184,2.277184
48,0.47129058837890625,-3.150264,8.340904,2.214992
49,0.48113465309143066,-3.281824,8.510736,2.277184
50,0.49176573753356934,-3.406208,8.663824,2.169544
51,0.5016148090362549,-3.580824,8.594456,2.183896
52,0.5115933418273926,-3.762616,8.486816,2.119312
53,0.5217278003692627,-3.8272,8.190208,2.138448
54,0.5315439701080322,-3.836768,8.0132,2.334592
55,0.5412464141845703,-3.932448,7.922304,2.449408
56,0.5516562461853027,-3.69564,7.96536,2.753192
57,0.5611319541931152,-3.243552,7.98928,2.899104
58,0.5713014602661133,-3.006744,7.807488,2.40396
59,0.5817604064941406,-3.06176,7.625696,1.880112
60,0.5912864208221436,-3.286608,7.764432,1.535664
61,0.601111650466919,-3.530592,8.1926,1.784432
62,0.611839771270752,-3.654976,8.800168,2.08104
63,0.6215336322784424,-3.559296,9.044152,2.399176
64,0.6315557956695557,-3.119168,8.948472,2.41592
65,0.641904354095459,-2.760368,8.639904,2.341768
66,0.6512730121612549,-2.52356,8.309808,2.2126
67,0.6612679958343506,-2.521168,8.202168,2.238912
68,0.6717941761016846,-2.839304,8.293064,2.447016
69,0.681593656539917,-3.303352,8.534656,2.528344
70,0.6915931701660156,-3.944408,8.733192,2.71492
71,0.7017629146575928,-4.415632,8.845616,2.815384
72,0.7115912437438965,-4.597424,8.797776,2.824952
73,0.7215855121612549,-4.40128,8.62316,2.920632
74,0.731741189956665,-4.274504,8.50356,2.987608
75,0.7412664890289307,-4.147728,8.314592,2.944552
76,0.7513222694396973,-4.068792,8.297848,2.958904
77,0.7617738246917725,-4.085536,8.295456,2.949336
78,0.7711222171783447,-4.140552,8.3122,3.064152
79,0.7811381816864014,-4.159688,8.333728,2.987608
80,0.7920398712158203,-4.181216,8.36004,2.82256
81,0.8011527061462402,-4.075968,8.297848,2.71492
82,0.8115286827087402,-4.13816,8.34808,2.55944
83,0.8217394351959229,-4.0664,8.446152,2.478112
84,0.8315894603729248,-3.977896,8.570536,2.652728
85,0.8415899276733398,-3.879824,8.692528,2.860832
