//Date Created 2022-12-09 13:07:45.377654
"//Units: sec, m/s/s"
Action,cutting
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.5762786865234375e-06,-2.820168,8.891064,2.875184
2,0.007947683334350586,-2.896712,8.900632,2.815384
3,0.017948150634765625,-2.968472,8.926944,2.934984
4,0.028837203979492188,-2.999568,8.989136,2.863224
5,0.03797316551208496,-3.033056,9.0896,2.920632
6,0.04802274703979492,-2.99,9.00588,2.913456
7,0.05878806114196777,-2.89432,8.919768,2.963688
8,0.06819415092468262,-2.820168,8.87432,2.958904
9,0.07833719253540039,-2.784288,8.77864,2.949336
10,0.08904838562011719,-2.70296,8.843224,2.89432
11,0.09837484359741211,-2.710136,9.003488,2.891928
12,0.10840916633605957,-2.719704,9.132656,2.848872
13,0.11887431144714355,-2.736448,9.10156,2.772328
14,0.1284017562866211,-2.693392,9.008272,2.844088
15,0.13839411735534668,-2.772328,8.907808,2.95412
16,0.14895057678222656,-2.78668,8.843224,2.808208
17,0.15839767456054688,-2.741232,8.840832,2.920632
18,0.16842269897460938,-2.848872,8.869536,2.808208
19,0.17908596992492676,-2.84648,8.816912,2.956512
20,0.18842005729675293,-2.803424,8.845616,2.903888
21,0.1984548568725586,-2.848872,8.7906,2.985216
22,0.209075927734375,-2.84648,8.81452,2.927808
23,0.2184901237487793,-2.879968,8.857576,2.836912
24,0.2284839153289795,-2.903888,8.852792,2.9302
25,0.2388744354248047,-2.853656,8.895848,2.844088
26,0.24846363067626953,-2.836912,8.905416,2.848872
27,0.25839996337890625,-2.8704,8.95804,2.79864
28,0.2690427303314209,-2.872792,8.881496,2.908672
29,0.2785046100616455,-2.875184,8.905416,2.851264
30,0.28842878341674805,-2.920632,8.819304,2.8106
31,0.2989339828491211,-2.90628,8.924552,2.719704
32,0.3083946704864502,-2.951728,8.967608,2.844088
33,0.31850481033325195,-2.832128,8.953256,2.872792
34,0.32886600494384766,-2.760368,8.881496,2.901496
35,0.33850646018981934,-2.839304,8.871928,2.96608
36,0.3484663963317871,-2.8704,8.924552,2.853656
37,0.3583056926727295,-2.908672,8.869536,2.868008
38,0.3684241771697998,-2.908672,8.950864,2.868008
39,0.378368616104126,-3.009136,9.032192,2.748408
40,0.38906002044677734,-2.865616,8.960432,2.781896
41,0.3983876705169678,-2.951728,8.89824,2.875184
42,0.40833306312561035,-2.903888,8.857576,2.865616
43,0.4189622402191162,-2.879968,8.881496,2.90628
44,0.4284799098968506,-2.920632,8.924552,2.94216
