//Date Created 2022-12-09 13:10:55.757714
"//Units: sec, m/s/s"
Action,pouring
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.5762786865234375e-06,-5.171504,7.879248,1.317992
2,0.0037832260131835938,-5.188248,7.850544,1.349088
3,0.01316380500793457,-5.147584,7.843368,1.332344
4,0.022991180419921875,-5.159544,7.884032,1.322776
5,0.03365468978881836,-5.17868,7.9534,1.215136
6,0.04299521446228027,-5.197816,7.982104,1.310816
7,0.05295085906982422,-5.164328,8.051472,1.270152
8,0.06370925903320312,-5.169112,8.06104,1.253408
9,0.07302331924438477,-5.219344,8.068216,1.272544
10,0.08307957649230957,-5.145192,8.094528,1.320384
11,0.09369230270385742,-5.032768,8.128016,1.334736
12,0.10344743728637695,-5.01124,8.10888,1.382576
13,0.11345076560974121,-4.994496,8.166288,1.301248
14,0.12354922294616699,-5.075824,8.12084,1.241448
15,0.1334686279296875,-5.018416,8.175856,1.2558
16,0.1431119441986084,-5.152368,8.206952,1.239056
17,0.15306782722473145,-5.243264,8.22848,1.289288
18,0.16353797912597656,-5.338944,8.214128,1.394536
19,0.17324233055114746,-5.410704,8.18064,1.406496
20,0.18363475799560547,-5.413096,8.16868,1.298856
21,0.19315052032470703,-5.45376,8.073,1.353872
22,0.20351505279541016,-5.33416,8.077784,1.358656
23,0.21360111236572266,-5.2624,7.972536,1.425632
24,0.22296738624572754,-5.1428,7.97732,1.454336
25,0.23311805725097656,-5.018416,7.943832,1.509352
26,0.24375224113464355,-5.006456,7.97732,1.54284
27,0.2534780502319336,-4.925128,7.991672,1.50696
28,0.26297616958618164,-5.111704,8.017984,1.600248
29,0.27367663383483887,-5.279144,8.149544,1.56676
30,0.2834041118621826,-5.437016,8.104096,1.492608
31,0.29339098930358887,-5.415488,8.04908,1.432808
32,0.3036501407623291,-5.391568,7.903168,1.53088
33,0.3130371570587158,-5.216952,7.805096,1.619384
34,0.32294654846191406,-5.063864,7.778784,1.564368
35,0.33351635932922363,-5.092568,7.740512,1.636128
36,0.3434474468231201,-5.027984,7.685496,1.509352
37,0.3534843921661377,-5.073432,7.709416,1.588288
38,0.3636643886566162,-5.140408,7.769216,1.504568
39,0.3733863830566406,-5.078216,7.79792,1.504568
40,0.3833944797515869,-5.183464,7.879248,1.576328
41,0.39354848861694336,-5.216952,7.888816,1.600248
42,0.4034602642059326,-5.271968,7.955792,1.559584
43,0.4134213924407959,-5.293496,8.06104,1.490216
44,0.4235384464263916,-5.377216,8.044296,1.425632
45,0.43356966972351074,-5.410704,8.027552,1.473472
46,0.44345521926879883,-5.386784,8.03712,1.487824
47,0.45354557037353516,-5.413096,7.946224,1.588288
48,0.4634819030761719,-5.300672,7.94144,1.583504
49,0.47306346893310547,-5.257616,7.826624,1.672008
50,0.48329806327819824,-5.276752,7.757256,1.648088
51,0.4934122562408447,-5.329376,7.704632,1.681576
52,0.5029771327972412,-5.37004,7.632872,1.628952
53,0.5136673450469971,-5.29828,7.73812,1.896856
54,0.5234334468841553,-5.157152,7.663968,1.8538
55,0.5329453945159912,-5.066256,7.704632,1.851408
