//Date Created 2022-12-09 13:09:35.026827
"//Units: sec, m/s/s"
Action,waiting
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,4.291534423828125e-06,-5.996744,7.467824,1.468688
2,0.007185459136962891,-5.94412,7.396064,1.396928
3,0.01719498634338379,-5.90824,7.360184,1.413672
4,0.02772045135498047,-5.977608,7.341048,1.310816
5,0.03697967529296875,-5.987176,7.226232,1.380184
6,0.04709315299987793,-5.975216,7.286032,1.341912
7,0.057767629623413086,-6.001528,7.28364,1.27972
8,0.06702947616577148,-5.999136,7.341048,1.33952
9,0.07718873023986816,-5.989568,7.321912,1.370616
10,0.08776187896728516,-6.06372,7.360184,1.30364
11,0.09709477424621582,-6.12352,7.360184,1.368224
12,0.10724782943725586,-6.054152,7.417592,1.356264
13,0.11725234985351562,-6.07568,7.419984,1.325168
14,0.1271975040435791,-6.011096,7.400848,1.392144
15,0.13751840591430664,-5.924984,7.408024,1.33952
16,0.14780616760253906,-5.886712,7.434336,1.368224
17,0.1575155258178711,-5.913024,7.453472,1.404104
18,0.16720867156982422,-5.898672,7.434336,1.277328
19,0.17791199684143066,-5.98,7.388888,1.270152
20,0.1875598430633545,-5.970432,7.372144,1.365832
21,0.19713211059570312,-5.846048,7.372144,1.341912
22,0.20792055130004883,-5.874752,7.3554,1.396928
23,0.2172255516052246,-5.8006,7.400848,1.45912
24,0.22724103927612305,-5.8006,7.372144,1.425632
25,0.23781037330627441,-5.826912,7.324304,1.392144
26,0.24721384048461914,-5.834088,7.36736,1.382576
27,0.25722789764404297,-5.829304,7.429552,1.442376
28,0.26792240142822266,-5.850832,7.4152,1.451944
29,0.2772345542907715,-5.891496,7.372144,1.495
30,0.28756284713745117,-5.889104,7.417592,1.396928
31,0.2979240417480469,-5.83648,7.400848,1.461512
32,0.30724048614501953,-5.953688,7.434336,1.516528
33,0.31723952293395996,-5.905848,7.345832,1.461512
34,0.327803373336792,-5.901064,7.360184,1.516528
35,0.3375704288482666,-5.87236,7.37932,1.475864
36,0.34709715843200684,-5.88432,7.393672,1.485432
37,0.35793066024780273,-5.972824,7.36736,1.392144
38,0.36719703674316406,-6.013488,7.274072,1.425632
39,0.3771696090698242,-6.0398,7.353008,1.394536
40,0.38771820068359375,-6.05176,7.338656,1.428024
41,0.39716529846191406,-6.01588,7.386496,1.454336
42,0.40709447860717773,-5.95608,7.3554,1.468688
43,0.41774678230285645,-5.941728,7.276464,1.454336
44,0.42718029022216797,-5.874752,7.302776,1.413672
45,0.43749237060546875,-5.927376,7.269288,1.33952
46,0.4478635787963867,-5.898672,7.231016,1.349088
47,0.45783400535583496,-5.970432,7.16404,1.191216
48,0.46721887588500977,-5.929768,7.173608,1.298856
49,0.47788548469543457,-5.850832,7.24776,1.4352
50,0.4875218868255615,-5.831696,7.362576,1.490216
51,0.49718451499938965,-5.846048,7.388888,1.526096
52,0.5078797340393066,-5.881928,7.324304,1.550016
53,0.5171911716461182,-5.922592,7.286032,1.605032
54,0.5272159576416016,-5.905848,7.238192,1.600248
55,0.5377144813537598,-5.891496,7.209488,1.571544
56,0.5472009181976318,-5.807776,7.197528,1.621776
57,0.55718994140625,-5.771896,7.216664,1.5548
58,0.5677385330200195,-5.712096,7.173608,1.444768
59,0.5771546363830566,-5.879536,7.147296,1.50696
60,0.587519645690918,-5.889104,7.106632,1.480648
61,0.59786057472229,-6.011096,7.135336,1.370616
62,0.6071445941925049,-5.987176,7.120984,1.523704
63,0.6171829700469971,-6.097208,7.221448,1.688752
64,0.6277570724487305,-6.020664,7.305168,1.605032
65,0.6370260715484619,-6.025448,7.374536,1.624168
66,0.6471662521362305,-5.970432,7.36736,1.545232
67,0.6577355861663818,-5.96804,7.31952,1.619384
68,0.6671204566955566,-5.982392,7.27168,1.609816
69,0.6772348880767822,-6.013488,7.281248,1.607424
70,0.6877808570861816,-5.96804,7.238192,1.755728
71,0.6972160339355469,-5.838872,7.21188,1.683968
72,0.7072246074676514,-5.771896,7.14012,1.660048
73,0.7177937030792236,-5.731232,7.109024,1.652872
74,0.7278599739074707,-5.628376,7.094672,1.660048
75,0.7371945381164551,-5.578144,7.147296,1.60264
76,0.7478675842285156,-5.587712,7.197528,1.571544
77,0.7571377754211426,-5.611632,7.238192,1.456728
78,0.7671627998352051,-5.743192,7.123376,1.401712
79,0.7777576446533203,-5.877144,7.101848,1.550016
80,0.7872660160064697,-5.898672,7.094672,1.528488
81,0.7972245216369629,-5.89628,7.21188,1.516528
82,0.8078968524932861,-5.82452,7.302776,1.62656
83,0.8172383308410645,-5.678608,7.467824,1.62656
84,0.8272511959075928,-5.690568,7.422376,1.655264
85,0.8377797603607178,-5.659472,7.40324,1.71028
86,0.8472096920013428,-5.578144,7.539584,1.66244
87,0.8570280075073242,-5.539872,7.52284,1.657656
88,0.8676707744598389,-5.630768,7.501312,1.62656
89,0.8769495487213135,-5.733624,7.45108,1.430416
90,0.8870108127593994,-5.805384,7.465432,1.408888
91,0.8976986408233643,-5.946512,7.388888,1.41128
92,0.9071531295776367,-5.939336,7.412808,1.33952
93,0.9171302318572998,-5.987176,7.405632,1.384968
94,0.9278509616851807,-5.941728,7.408024,1.389752
95,0.9374806880950928,-5.793424,7.455864,1.389752
96,0.9471280574798584,-5.853224,7.501312,1.478256
97,0.9578266143798828,-5.865184,7.568288,1.535664
98,0.9671063423156738,-5.886712,7.611344,1.633736
99,0.9771878719329834,-5.987176,7.604168,1.691144
100,0.9876916408538818,-6.020664,7.549152,1.640912
101,0.9971818923950195,-6.080464,7.491744,1.74616
102,1.0071706771850586,-6.042192,7.515664,1.676792
103,1.0178842544555664,-5.913024,7.446296,1.7342
104,1.0271730422973633,-5.905848,7.448688,1.691144
105,1.0375118255615234,-5.826912,7.388888,1.87772
106,1.0478696823120117,-5.77668,7.422376,1.794
107,1.0571858882904053,-5.834088,7.405632,1.846624
108,1.067190170288086,-5.822128,7.46304,1.765296
109,1.0777015686035156,-5.881928,7.39128,1.748552
110,1.0875113010406494,-5.83648,7.364968,1.693536
111,1.0971729755401611,-5.774288,7.317128,1.65048
112,1.1079013347625732,-5.767112,7.312344,1.655264
113,1.117180585861206,-5.69296,7.226232,1.609816
114,1.1271748542785645,-5.635552,7.185568,1.53088
115,1.1377005577087402,-5.515952,7.250152,1.561976
116,1.14717435836792,-5.482464,7.326696,1.557192
117,1.1571781635284424,-5.382,7.364968,1.51892
118,1.1677908897399902,-5.295888,7.312344,1.54284
119,1.1771624088287354,-5.374824,7.348224,1.456728
120,1.1871531009674072,-5.317416,7.312344,1.504568
121,1.1978721618652344,-5.4418,7.333872,1.5548
122,1.2071843147277832,-5.46572,7.317128,1.509352
123,1.2171807289123535,-5.575752,7.372144,1.521312
124,1.2277348041534424,-5.654688,7.2956,1.53088
