//Date Created 2022-12-09 13:15:58.932146
"//Units: sec, m/s/s"
Action,walking
SampleRate,100.0
Frames#,Time,AccX,AccY,AccZ
1,3.5762786865234375e-06,5.008848,11.273496,2.698176
2,0.005118608474731445,5.566184,10.187528,3.1096
3,0.015028953552246094,6.02784,9.553648,3.315312
4,0.025644302368164062,6.173752,9.869392,3.14548
5,0.03499579429626465,5.661864,10.59656,3.021096
6,0.045007944107055664,5.044728,11.354824,2.755584
7,0.055718421936035156,4.705064,11.86432,2.65512
8,0.06508994102478027,4.870112,12.237472,2.824952
9,0.0750126838684082,5.28632,12.876136,2.805816
10,0.08573031425476074,5.518344,13.397592,2.827344
11,0.09522485733032227,5.822128,13.854464,2.997176
12,0.10550570487976074,6.228768,13.8138,3.31292
13,0.11519861221313477,7.094672,13.402376,4.418024
14,0.12550067901611328,7.805096,12.974208,5.535088
15,0.13547801971435547,8.123232,12.309232,6.4584
16,0.14574337005615234,8.10888,11.273496,6.82916
17,0.15509319305419922,7.685496,10.216232,6.855472
18,0.16553449630737305,7.073144,9.147008,6.848296
19,0.17551803588867188,6.436872,8.470072,6.453616
20,0.18552684783935547,5.506384,7.934264,5.958472
21,0.19517302513122559,4.542408,7.587424,5.42984
22,0.205183744430542,3.68368,7.15208,4.9634
23,0.21515631675720215,2.968472,6.764576,4.56872
24,0.2252347469329834,2.449408,6.441656,4.17404
25,0.23520278930664062,2.061904,6.0996,3.977896
26,0.24520421028137207,1.784432,5.810168,3.822416
27,0.2551548480987549,1.693536,5.551832,3.643016
28,0.2657656669616699,1.569152,5.331768,3.571256
29,0.2751631736755371,1.432808,5.078216,3.174184
30,0.28511738777160645,1.334736,4.853368,2.877576
31,0.2958095073699951,0.961584,4.707456,2.72688
32,0.305206298828125,0.547768,4.633304,2.805816
33,0.3151438236236572,0.174616,4.044872,1.66244
34,0.32519006729125977,0.088504,4.439552,1.59068
35,0.3351571559906006,-1.181648,3.989856,1.956656
36,0.34544968605041504,-2.848872,5.532696,3.15744
37,0.3559904098510742,-0.619528,6.872216,2.6312
38,0.3657212257385254,0.306176,7.757256,3.064152
39,0.3748655319213867,-1.322776,7.183176,3.678896
40,0.38575172424316406,-3.116776,6.094816,2.652728
41,0.39503049850463867,-3.30096,5.683392,1.738984
42,0.40543055534362793,-2.8106,6.444048,2.102568
43,0.41573095321655273,-2.243696,8.14476,2.815384
44,0.42511487007141113,-1.358656,9.725872,3.12156
45,0.43551039695739746,0.117208,10.5248,3.351192
46,0.44573354721069336,0.928096,9.462752,3.289
47,0.45502781867980957,1.490216,8.173464,3.14548
48,0.46552324295043945,1.473472,7.757256,3.095248
49,0.47571635246276855,0.772616,8.21652,2.712528
50,0.485459566116333,0.51428,10.053576,3.0498
51,0.4950423240661621,0.504712,11.450504,2.980432
52,0.5057306289672852,0.20332,11.515088,3.035448
53,0.5154645442962646,-0.34684,11.177816,3.315312
54,0.5250058174133301,-1.140984,11.634688,3.748264
55,0.5357897281646729,-1.944696,12.6178,3.736304
56,0.5451476573944092,-2.528344,13.249288,3.855904
57,0.5550844669342041,-2.836912,13.464568,3.896568
58,0.5657758712768555,-2.937376,13.727688,4.119024
59,0.5750517845153809,-2.913456,14.043432,4.6046
60,0.5852038860321045,-2.760368,14.086488,4.755296
61,0.5959062576293945,-2.566616,13.952536,4.853368
62,0.6055407524108887,-2.22456,13.455,4.8438
63,0.6155576705932617,-1.693536,12.691952,4.635696
64,0.6251747608184814,-1.114672,11.809304,4.743336
65,0.6355299949645996,-0.504712,10.976888,4.554368
66,0.6455521583557129,0.045448,9.93876,4.530448
67,0.6554765701293945,0.533416,9.130264,4.650048
68,0.6654479503631592,0.966368,8.381568,4.618952
69,0.6754534244537354,1.018992,7.96536,4.578288
70,0.6857562065124512,1.093144,7.539584,4.355832
71,0.6950483322143555,0.74152,7.12816,4.231448
72,0.7054650783538818,0.487968,6.771752,4.0066
73,0.715726375579834,0.320528,6.48232,3.75544
74,0.725426197052002,0.169832,6.348368,3.678896
75,0.7350895404815674,-0.040664,6.0996,3.609528
76,0.7457659244537354,-0.1794,6.025448,3.38468
77,0.7555382251739502,-0.03588,5.81256,3.188536
78,0.7656309604644775,0.236808,5.829304,3.128736
79,0.7757365703582764,0.437736,6.02784,3.08568
80,0.7854907512664795,0.480792,6.116344,3.054584
81,0.7952065467834473,0.301392,6.31488,3.03784
82,0.8051726818084717,-0.007176,6.597136,3.116776
83,0.815518856048584,-0.473616,6.798064,3.186144
84,0.8252182006835938,-1.085968,7.09228,3.375112
85,0.835904598236084,-1.406496,7.455864,3.293784
86,0.8452212810516357,-1.53088,7.998848,3.430128
87,0.8552107810974121,-1.90164,8.065824,2.614456
88,0.8657960891723633,-2.22456,7.886424,2.17672
89,0.875307559967041,-2.90628,9.16136,3.162224
90,0.8851888179779053,-2.968472,9.642152,2.298712
91,0.89579176902771,-3.226808,9.910056,2.08104
92,0.9051668643951416,-3.63584,10.268856,2.133664
93,0.915189266204834,-4.111848,9.517768,1.605032
94,0.9257626533508301,-4.312776,9.84308,1.96144
95,0.9351632595062256,-4.013776,10.204272,1.837056
96,0.9451868534088135,-3.664544,10.558288,1.628952
97,0.955878496170044,-3.489928,11.582064,1.784432
98,0.9651834964752197,-3.475576,13.077064,1.621776
99,0.9757139682769775,-3.255512,14.440504,1.473472
100,0.9857921600341797,-2.72688,15.098304,1.628952
101,0.9950342178344727,-1.942304,14.73472,2.018848
102,1.005521297454834,-0.940056,13.74204,2.336984
103,1.015761137008667,-0.110032,12.799592,2.84648
104,1.0255193710327148,0.423384,12.208768,3.09764
105,1.0350868701934814,0.509496,12.409696,2.94216
106,1.0457420349121094,0.330096,12.742184,2.502032
107,1.05548095703125,-0.040664,13.254072,2.203032
108,1.0655181407928467,-0.205712,13.5746,1.987752
109,1.0757298469543457,0.03588,13.710944,1.798784
110,1.085543155670166,0.325312,13.89752,2.026024
111,1.095555305480957,0.794144,13.907088,1.887288
112,1.1057593822479248,0.830024,13.923832,2.047552
113,1.1155011653900146,0.818064,13.591344,1.683968
114,1.1251847743988037,0.810888,13.304304,1.621776
115,1.1357781887054443,1.1362,13.019656,1.715064
116,1.145052433013916,1.700712,12.675208,1.827488
117,1.1550352573394775,2.138448,11.914552,1.96144
118,1.1658215522766113,2.23652,10.936224,2.114528
119,1.1750378608703613,2.018848,9.883744,2.29632
120,1.185462236404419,1.779648,9.118304,2.509208
121,1.195732593536377,1.241448,8.297848,2.566616
122,1.2054712772369385,0.758264,7.628088,2.554656
123,1.215458631515503,0.284648,7.094672,2.325024
124,1.2256693840026855,-0.0598,6.719128,2.119312
125,1.2350378036499023,-0.401856,6.439264,1.939912
126,1.2450320720672607,-0.770224,6.20724,1.681576
127,1.25565505027771,-1.0764,6.130696,1.628952
128,1.265481948852539,-1.334736,6.149832,1.695928
129,1.275468349456787,-1.57872,6.020664,1.526096
130,1.285658836364746,-1.511744,6.001528,1.4352
131,1.29544997215271,-1.521312,5.977608,1.41128
132,1.3054225444793701,-1.430416,5.963256,1.368224
133,1.315657377243042,-1.229488,6.035016,1.325168
134,1.3255517482757568,-1.150552,6.125912,1.308424
135,1.3354909420013428,-1.102712,6.073288,1.272544
136,1.3456807136535645,-1.0764,5.853224,1.18404
137,1.355466365814209,-1.109888,5.834088,0.997464
138,1.3650858402252197,-1.200784,5.869968,0.901784
139,1.3758387565612793,-1.310816,6.190496,0.806104
140,1.3851447105407715,-1.526096,7.070752,0.614744
141,1.3954641819000244,-1.54284,8.302632,0.105248
