// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleRate,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
37699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.324546,-9.755853,1.316174,0,0,0.036897,0.063218,-0.337318,0.040466,0.003243,-0.097562,0.013136,0.999999,0.000316,-0.001687,0.000202,-82.331452,-1.886838,178.374416,NaN,NaN,0,NaN,NaN,NaN
37700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.257863,-9.743692,1.377683,0,0,0.031298,0.057575,-0.329725,0.056755,0.002584,-0.09744,0.013753,0.999999,0.000288,-0.001649,0.000284,-81.966144,-1.503921,-179.916991,NaN,NaN,0,NaN,NaN,NaN
37701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11512,-9.766729,1.400478,0.174836,-0.056133,0.052903,0.044752,-0.328269,0.066655,0.001161,-0.09767,0.013985,0.999999,0.000224,-0.001641,0.000333,-82.14439,-1.681283,179.453843,NaN,NaN,0,NaN,NaN,NaN
37702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040351,-9.878456,1.260262,0.251361,0.101692,0.142224,0.048739,-0.320529,0.070214,0.000418,-0.098787,0.012579,0.999999,0.000244,-0.001603,0.000351,-82.121941,-1.666569,179.64135,NaN,NaN,0,NaN,NaN,NaN
37703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.200703,-9.873103,1.108949,0.088191,0.257128,0.120807,0.064835,-0.291947,0.066779,0.002024,-0.098734,0.01106,0.999999,0.000324,-0.00146,0.000334,-82.089859,-1.651821,179.812409,NaN,NaN,0,NaN,NaN,NaN
37704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.523293,-9.836561,1.045174,-0.239002,0.322782,0.08493,0.083789,-0.230247,0.064477,0.005253,-0.098368,0.010417,0.999999,0.000419,-0.001151,0.000322,-82.045744,-1.633437,179.948222,NaN,NaN,0,NaN,NaN,NaN
37705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.725096,-9.790244,1.039306,-0.446227,0.329431,0.043638,0.087244,-0.16287,0.062699,0.007273,-0.097905,0.010356,1,0.000436,-0.000814,0.000313,-81.999318,-1.610952,-179.954316,NaN,NaN,0,NaN,NaN,NaN
37706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.773876,-9.771418,1.000197,-0.500583,0.372693,0.02044,0.080452,-0.102313,0.064649,0.007765,-0.097716,0.009967,1,0.000402,-0.000512,0.000323,-81.954984,-1.582455,-179.891075,NaN,NaN,0,NaN,NaN,NaN
37707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.745063,-9.736531,0.942269,-0.477953,0.431709,-0.023499,0.075383,-0.068411,0.060716,0.007477,-0.097367,0.009389,1,0.000377,-0.000342,0.000304,-81.91547,-1.555939,-179.847302,NaN,NaN,0,NaN,NaN,NaN
37708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.76126,-9.729277,0.898547,-0.499582,0.480005,-0.036914,0.059298,-0.047749,0.051639,0.007636,-0.097293,0.008958,1,0.000296,-0.000239,0.000258,-81.882337,-1.530502,-179.816036,NaN,NaN,0,NaN,NaN,NaN
