// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleRate,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
4064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.731173,-9.494143,1.339041,0,0,-0.069549,-0.01729,0.06176,-0.032116,0.017301,-0.094943,0.013393,1,-8.6E-05,0.000309,-0.000161,-81.970474,-10.228088,-158.340445,NaN,NaN,0,NaN,NaN,NaN
4065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69499,-9.494309,1.384707,0,0,-0.069366,-0.009154,0.065358,-0.033041,0.016939,-0.094945,0.013846,1,-4.6E-05,0.000327,-0.000165,-81.703034,-10.011728,-157.987258,NaN,NaN,0,NaN,NaN,NaN
4066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.616898,-9.458392,1.38277,0.091209,0.009158,-0.118401,-0.009843,0.061369,-0.037068,0.016156,-0.094586,0.013827,1,-4.9E-05,0.000307,-0.000185,-81.833962,-10.129413,-158.230562,NaN,NaN,0,NaN,NaN,NaN
4067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.557942,-9.461444,1.421901,0.163367,-0.003242,-0.12036,-0.010756,0.055824,-0.040107,0.015564,-0.094617,0.01422,1,-5.4E-05,0.000279,-0.000201,-81.833879,-10.147617,-158.266041,NaN,NaN,0,NaN,NaN,NaN
4068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.496558,-9.491903,1.393108,0.2146,0.052597,-0.105584,-0.005749,0.036331,-0.042028,0.014948,-0.094922,0.013931,1,-2.9E-05,0.000182,-0.00021,-81.832429,-10.168317,-158.290659,NaN,NaN,0,NaN,NaN,NaN
4069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.461966,-9.523959,1.451979,0.275895,0.019484,-0.072313,0.002275,0.012995,-0.039561,0.014602,-0.095243,0.014518,1,1.1E-05,6.5E-05,-0.000198,-81.829224,-10.189695,-158.301419,NaN,NaN,0,NaN,NaN,NaN
4070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.489034,-9.520311,1.459259,0.256716,0.004362,-0.070149,0.010817,-0.009917,-0.039895,0.014871,-0.095207,0.014588,1,5.4E-05,-5E-05,-0.000199,-81.82328,-10.21243,-158.299037,NaN,NaN,0,NaN,NaN,NaN
4071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.516104,-9.484531,1.453806,0.229465,-0.005137,-0.101056,0.013198,-0.030088,-0.04184,0.015139,-0.094849,0.014534,1,6.6E-05,-0.00015,-0.000209,-81.818181,-10.238611,-158.285163,NaN,NaN,0,NaN,NaN,NaN
4072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.543703,-9.480696,1.461442,0.210091,-0.020258,-0.098889,0.019903,-0.042771,-0.037487,0.015416,-0.094811,0.014608,1,0.0001,-0.000214,-0.000187,-81.809998,-10.261595,-158.26373,NaN,NaN,0,NaN,NaN,NaN
4073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.547899,-9.479859,1.462436,0.210091,-0.020258,-0.098889,0.016754,-0.053542,-0.036171,0.015458,-0.094803,0.014621,1,8.4E-05,-0.000268,-0.000181,-81.805367,-10.28648,-158.235873,NaN,NaN,0,NaN,NaN,NaN
4074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.574092,-9.380023,1.430872,0.165909,-0.018535,-0.195925,0.015557,-0.057951,-0.037398,0.015719,-0.093804,0.014306,1,7.8E-05,-0.00029,-0.000187,-81.800597,-10.309416,-158.205803,NaN,NaN,0,NaN,NaN,NaN
4075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.568284,-9.36696,1.462081,0.185874,-0.045073,-0.20537,0.016996,-0.061672,-0.038604,0.01566,-0.093674,0.014618,1,8.5E-05,-0.000308,-0.000193,-81.796655,-10.336348,-158.173461,NaN,NaN,0,NaN,NaN,NaN
4076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.629625,-9.372263,1.445302,0.127001,-0.048692,-0.191596,0.020407,-0.06938,-0.036822,0.016274,-0.093727,0.014449,1,0.000102,-0.000347,-0.000184,-81.789508,-10.358648,-158.136902,NaN,NaN,0,NaN,NaN,NaN
4077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.662855,-9.390441,1.4437,0.102054,-0.053332,-0.168182,0.01922,-0.073801,-0.038036,0.016605,-0.093909,0.014434,1,9.6E-05,-0.000369,-0.00019,-81.785586,-10.386257,-158.09752,NaN,NaN,0,NaN,NaN,NaN
4078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.742656,-9.402523,1.455036,0.038012,-0.08804,-0.140448,0.020777,-0.080927,-0.033048,0.017405,-0.09403,0.014548,1,0.000104,-0.000405,-0.000165,-81.778605,-10.406563,-158.054155,NaN,NaN,0,NaN,NaN,NaN
4079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.771013,-9.430537,1.475109,0.027139,-0.108751,-0.105221,0.021529,-0.078982,-0.036813,0.017687,-0.09431,0.014748,1,0.000108,-0.000395,-0.000184,-81.773952,-10.433912,-158.011684,NaN,NaN,0,NaN,NaN,NaN
4080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.860821,-9.454776,1.455746,-0.056921,-0.116723,-0.068059,0.022727,-0.082262,-0.029198,0.018588,-0.094552,0.014554,1,0.000114,-0.000411,-0.000146,-81.764898,-10.45237,-157.967445,NaN,NaN,0,NaN,NaN,NaN
4081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88797,-9.450856,1.462809,-0.075979,-0.131828,-0.065905,0.019102,-0.06648,-0.028506,0.018861,-0.094513,0.014625,1,9.6E-05,-0.000332,-0.000143,-81.760483,-10.473991,-157.93149,NaN,NaN,0,NaN,NaN,NaN
4082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.960747,-9.408898,1.469449,-0.142181,-0.170927,-0.092515,0.008693,-0.045656,-0.025815,0.019592,-0.094092,0.014695,1,4.3E-05,-0.000228,-0.000129,-81.754596,-10.489123,-157.90828,NaN,NaN,0,NaN,NaN,NaN
