// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.1
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
54294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.970486	-9.379869	1.840736	-0.000000	0.000000	-0.204769	0.022063	-0.070203	-0.022508	0.009688	-0.093802	0.018400	1.000000	0.000110	-0.000351	-0.000113	-78.901631	-5.787073	164.331976	NaN	NaN	0.000000	NaN	NaN	NaN
54295	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.983076	-9.439410	1.809191	-0.000000	0.000000	-0.151318	0.017356	-0.072586	-0.020885	0.009814	-0.094397	0.018087	1.000000	0.000087	-0.000363	-0.000104	-79.153068	-5.830351	163.040263	NaN	NaN	0.000000	NaN	NaN	NaN
54296	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.008042	-9.412746	1.804562	-0.026225	0.028184	-0.175732	0.016112	-0.071990	-0.017649	0.010066	-0.094130	0.018042	1.000000	0.000081	-0.000360	-0.000088	-79.026830	-5.816420	163.731688	NaN	NaN	0.000000	NaN	NaN	NaN
54297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.029483	-9.428104	1.803281	-0.040946	0.037794	-0.158792	0.017106	-0.069594	-0.018661	0.010280	-0.094284	0.018028	1.000000	0.000086	-0.000348	-0.000093	-79.020815	-5.834508	163.768990	NaN	NaN	0.000000	NaN	NaN	NaN
54298	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.992070	-9.438000	1.811635	-0.002976	0.020895	-0.151341	0.011132	-0.056567	-0.017980	0.009907	-0.094382	0.018114	1.000000	0.000056	-0.000283	-0.000090	-79.017854	-5.850361	163.799112	NaN	NaN	0.000000	NaN	NaN	NaN
54299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.016532	-9.411463	1.806490	-0.026312	0.028146	-0.175733	0.008148	-0.045497	-0.018524	0.010152	-0.094116	0.018063	1.000000	0.000041	-0.000227	-0.000093	-79.015604	-5.865747	163.822804	NaN	NaN	0.000000	NaN	NaN	NaN
54300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.004913	-9.425367	1.792746	-0.007319	0.039957	-0.165943	0.010422	-0.038522	-0.013006	0.010040	-0.094255	0.017924	1.000000	0.000052	-0.000193	-0.000065	-79.011775	-5.877339	163.843164	NaN	NaN	0.000000	NaN	NaN	NaN
54301	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.003450	-9.467100	1.796588	0.001295	0.042316	-0.124610	0.006392	-0.033247	-0.013209	0.010025	-0.094672	0.017965	1.000000	0.000032	-0.000166	-0.000066	-79.009891	-5.888400	163.860513	NaN	NaN	0.000000	NaN	NaN	NaN
54302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.968461	-9.435219	1.801028	0.030748	0.023050	-0.158491	0.002269	-0.025668	-0.016507	0.009675	-0.094353	0.018010	1.000000	0.000011	-0.000128	-0.000083	-79.010143	-5.900625	163.873239	NaN	NaN	0.000000	NaN	NaN	NaN
54303	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.973524	-9.393080	1.797320	0.022134	0.020692	-0.199824	-0.003943	-0.018791	-0.011790	0.009728	-0.093931	0.017976	1.000000	-0.000020	-0.000094	-0.000059	-79.013362	-5.909308	163.882570	NaN	NaN	0.000000	NaN	NaN	NaN
54304	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.926706	-9.415427	1.824000	0.064522	-0.015315	-0.177770	-0.009966	-0.018293	-0.009989	0.009261	-0.094154	0.018246	1.000000	-0.000050	-0.000091	-0.000050	-79.020461	-5.916925	163.891863	NaN	NaN	0.000000	NaN	NaN	NaN
54305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.903578	-9.401995	1.791036	0.093876	0.005975	-0.199523	-0.011675	-0.022637	-0.009578	0.009029	-0.094019	0.017917	1.000000	-0.000058	-0.000113	-0.000048	-79.028363	-5.924782	163.903613	NaN	NaN	0.000000	NaN	NaN	NaN
