// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleRate,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
15130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.787451,-9.418469,2.196466,0,0,-0.109487,-0.001149,-0.055934,-0.045974,0.007847,-0.094186,0.021967,1,-6E-06,-0.00028,-0.00023,-76.871411,-4.638419,166.595553,NaN,NaN,0,NaN,NaN,NaN
15131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.773239,-9.406791,2.169987,0,0,-0.127933,-0.00364,-0.049034,-0.050128,0.007703,-0.094069,0.021703,1,-1.8E-05,-0.000245,-0.000251,-77.008195,-4.562268,166.088116,NaN,NaN,0,NaN,NaN,NaN
15132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.750831,-9.40226,2.215826,0.017673,-0.039224,-0.123814,-0.004816,-0.045565,-0.049337,0.00748,-0.094024,0.022162,1,-2.4E-05,-0.000228,-0.000247,-76.942702,-4.617399,166.400661,NaN,NaN,0,NaN,NaN,NaN
15133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.753468,-9.419831,2.163492,0.034012,0.012577,-0.118343,-0.006355,-0.039056,-0.056011,0.007504,-0.0942,0.021639,1,-3.2E-05,-0.000195,-0.00028,-76.947522,-4.653716,166.415259,NaN,NaN,0,NaN,NaN,NaN
15134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.770901,-9.409066,2.181391,0.017407,-0.00469,-0.123366,-0.006418,-0.03593,-0.05201,0.007681,-0.094092,0.021818,1,-3.2E-05,-0.00018,-0.00026,-76.95237,-4.686783,166.428619,NaN,NaN,0,NaN,NaN,NaN
15135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.740414,-9.382789,2.220089,0.04102,-0.056123,-0.142688,-0.007046,-0.037358,-0.058476,0.007373,-0.093829,0.022206,1,-3.5E-05,-0.000187,-0.000292,-76.957501,-4.724254,166.441954,NaN,NaN,0,NaN,NaN,NaN
15136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.715571,-9.396169,2.214325,0.074171,-0.056076,-0.133089,-0.006564,-0.03913,-0.061732,0.007122,-0.093963,0.022148,1,-3.3E-05,-0.000196,-0.000309,-76.962347,-4.763664,166.455857,NaN,NaN,0,NaN,NaN,NaN
15137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.713764,-9.374053,2.206479,0.080957,-0.05574,-0.156539,-0.004755,-0.044332,-0.060046,0.007105,-0.093742,0.022069,1,-2.4E-05,-0.000222,-0.0003,-76.966493,-4.80291,166.472902,NaN,NaN,0,NaN,NaN,NaN
15138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.723973,-9.355858,2.257236,0.06454,-0.107481,-0.162008,-0.003569,-0.050957,-0.064827,0.007204,-0.093561,0.022576,1,-1.8E-05,-0.000255,-0.000324,-76.969993,-4.845148,166.493023,NaN,NaN,0,NaN,NaN,NaN
15139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73423,-9.308636,2.228618,0.061449,-0.089564,-0.213483,-0.001934,-0.056212,-0.06887,0.007304,-0.093089,0.022289,1,-1E-05,-0.000281,-0.000344,-76.973016,-4.890853,166.515586,NaN,NaN,0,NaN,NaN,NaN
