// Start Time: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Update Rate: 100.0Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Filter Profile: human (46.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Firmware Version: 4.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Year,Month,Day,Second,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_X,Vel_Y,Vel_Z
18597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.599334,-9.330512,2.589792,0,0,-0.1109,-0.009586,-0.138002,-0.017818,0.005967,-0.093304,0.025907,1,-4.8E-05,-0.00069,-8.9E-05,-74.482375,-3.526246,-170.531072,NaN,NaN,0,NaN,NaN,NaN
18598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.585461,-9.325569,2.573782,0,0,-0.120766,-0.009207,-0.134357,-0.018975,0.005828,-0.093255,0.025746,1,-4.6E-05,-0.000672,-9.5E-05,-74.566136,-3.4477,-171.148711,NaN,NaN,0,NaN,NaN,NaN
18599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.562077,-9.343452,2.645936,0.038271,-0.051217,-0.08577,-0.005535,-0.139947,-0.016327,0.005595,-0.093434,0.026466,1,-2.8E-05,-0.0007,-8.2E-05,-74.527016,-3.501969,-170.720622,NaN,NaN,0,NaN,NaN,NaN
18600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.580425,-9.37205,2.659293,0.028428,-0.058987,-0.053601,0.004457,-0.154744,-0.016307,0.005776,-0.093722,0.026595,1,2.2E-05,-0.000774,-8.2E-05,-74.529563,-3.534625,-170.637508,NaN,NaN,0,NaN,NaN,NaN
18601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.613654,-9.379016,2.619354,-0.005413,-0.023799,-0.055489,0.009668,-0.161635,-0.015755,0.006108,-0.093792,0.026194,1,4.8E-05,-0.000808,-7.9E-05,-74.528988,-3.568354,-170.550716,NaN,NaN,0,NaN,NaN,NaN
18602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.586508,-9.369892,2.625223,0.027865,-0.026116,-0.064395,0.015733,-0.157407,-0.018573,0.005836,-0.093702,0.026249,1,7.9E-05,-0.000787,-9.3E-05,-74.525243,-3.60267,-170.466471,NaN,NaN,0,NaN,NaN,NaN
18603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.635421,-9.330108,2.707804,-0.000253,-0.121853,-0.077594,0.01169,-0.161478,-0.024088,0.006321,-0.093303,0.027078,1,5.8E-05,-0.000807,-0.00012,-74.523864,-3.640631,-170.380822,NaN,NaN,0,NaN,NaN,NaN
18604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.674541,-9.363345,2.736124,-0.026432,-0.14486,-0.035576,0.010933,-0.164892,-0.027578,0.00671,-0.093636,0.027362,1,5.5E-05,-0.000824,-0.000138,-74.523156,-3.68107,-170.29381,NaN,NaN,0,NaN,NaN,NaN
18605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.682274,-9.337659,2.70251,-0.033526,-0.119412,-0.068687,0.022678,-0.162666,-0.02981,0.006787,-0.093381,0.02702,1,0.000113,-0.000813,-0.000149,-74.514962,-3.722556,-170.208418,NaN,NaN,0,NaN,NaN,NaN
18606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.722266,-9.345434,2.697881,-0.066804,-0.117095,-0.059781,0.026875,-0.150936,-0.031195,0.007188,-0.093459,0.026972,1,0.000134,-0.000755,-0.000156,-74.504703,-3.762876,-170.129685,NaN,NaN,0,NaN,NaN,NaN
18607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.754645,-9.350822,2.747549,-0.082472,-0.164862,-0.039131,0.029823,-0.138434,-0.041695,0.007508,-0.093514,0.027467,1,0.000149,-0.000692,-0.000208,-74.49081,-3.807721,-170.059579,NaN,NaN,0,NaN,NaN,NaN
18608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.787739,-9.331067,2.76329,-0.105301,-0.187566,-0.051599,0.030757,-0.132554,-0.040558,0.00784,-0.093317,0.027624,1,0.000154,-0.000663,-0.000203,-74.477669,-3.850428,-169.992466,NaN,NaN,0,NaN,NaN,NaN
