// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.1
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
04064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.731173	-9.494143	1.339041	0.000000	0.000000	-0.069549	-0.017290	0.061760	-0.032116	0.017301	-0.094943	0.013393	1.000000	-0.000086	0.000309	-0.000161	-81.970474	-10.228088	-158.340445	NaN	NaN	0.000000	NaN	NaN	NaN
04065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.694990	-9.494309	1.384707	-0.000000	-0.000000	-0.069366	-0.009154	0.065358	-0.033041	0.016939	-0.094945	0.013846	1.000000	-0.000046	0.000327	-0.000165	-81.703034	-10.011728	-157.987258	NaN	NaN	0.000000	NaN	NaN	NaN
04066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.616898	-9.458392	1.382770	0.091209	0.009158	-0.118401	-0.009843	0.061369	-0.037068	0.016156	-0.094586	0.013827	1.000000	-0.000049	0.000307	-0.000185	-81.833962	-10.129413	-158.230562	NaN	NaN	0.000000	NaN	NaN	NaN
04067	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.557942	-9.461444	1.421901	0.163367	-0.003242	-0.120360	-0.010756	0.055824	-0.040107	0.015564	-0.094617	0.014220	1.000000	-0.000054	0.000279	-0.000201	-81.833879	-10.147617	-158.266041	NaN	NaN	0.000000	NaN	NaN	NaN
04068	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.496558	-9.491903	1.393108	0.214600	0.052597	-0.105584	-0.005749	0.036331	-0.042028	0.014948	-0.094922	0.013931	1.000000	-0.000029	0.000182	-0.000210	-81.832429	-10.168317	-158.290659	NaN	NaN	0.000000	NaN	NaN	NaN
04069	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.461966	-9.523959	1.451979	0.275895	0.019484	-0.072313	0.002275	0.012995	-0.039561	0.014602	-0.095243	0.014518	1.000000	0.000011	0.000065	-0.000198	-81.829224	-10.189695	-158.301419	NaN	NaN	0.000000	NaN	NaN	NaN
04070	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.489034	-9.520311	1.459259	0.256716	0.004362	-0.070149	0.010817	-0.009917	-0.039895	0.014871	-0.095207	0.014588	1.000000	0.000054	-0.000050	-0.000199	-81.823280	-10.212430	-158.299037	NaN	NaN	0.000000	NaN	NaN	NaN
04071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.516104	-9.484531	1.453806	0.229465	-0.005137	-0.101056	0.013198	-0.030088	-0.041840	0.015139	-0.094849	0.014534	1.000000	0.000066	-0.000150	-0.000209	-81.818181	-10.238611	-158.285163	NaN	NaN	0.000000	NaN	NaN	NaN
04072	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.543703	-9.480696	1.461442	0.210091	-0.020258	-0.098889	0.019903	-0.042771	-0.037487	0.015416	-0.094811	0.014608	1.000000	0.000100	-0.000214	-0.000187	-81.809998	-10.261595	-158.263730	NaN	NaN	0.000000	NaN	NaN	NaN
04073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.547899	-9.479859	1.462436	0.210091	-0.020258	-0.098889	0.016754	-0.053542	-0.036171	0.015458	-0.094803	0.014621	1.000000	0.000084	-0.000268	-0.000181	-81.805367	-10.286480	-158.235873	NaN	NaN	0.000000	NaN	NaN	NaN
